stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
06126000014,,Blvd. Sarmiento y Bertolini (Pza. 1º de Mayo),,-34.174689,-58.947485,,,,,America/Argentina/Buenos_Aires,
06126000015,,Blvd. Sarmiento y Sivori,,-34.172604,-58.949596,,,,,America/Argentina/Buenos_Aires,
06126000016,,Blvd. Sarmiento y Av. Ameghino,,-34.17063,-58.951593,,,,,America/Argentina/Buenos_Aires,
06126000017,,Blvd. Sarmiento y Jacob,,-34.168462,-58.953757,,,,,America/Argentina/Buenos_Aires,
06126000018,,Blvd. Sarmiento y Estrada,,-34.166448,-58.955841,,,,,America/Argentina/Buenos_Aires,
06126000019,,Col. Sur RN. 9 y Bellomo,,-34.196597,-58.940354,,,,,America/Argentina/Buenos_Aires,
06126000020,,Col. Sur RN. 9 y Lavezzari,,-34.194084,-58.942253,,,,,America/Argentina/Buenos_Aires,
06126000021,,Col. Sur RN. 9 y Viale (Esc. Sec. Nº 3),,-34.193269,-58.942845,,,,,America/Argentina/Buenos_Aires,
06126000022,,Blvd. Dellepiane y Museo del Automóvil,,-34.16673,-58.964138,,,,,America/Argentina/Buenos_Aires,
06126000023,,Blvd. Dellepiane y Av. Ameghino,,-34.169143,-58.967495,,,,,America/Argentina/Buenos_Aires,
06126000024,,Blvd. Dellepiane y RP. 6,,-34.171744,-58.971099,,,,,America/Argentina/Buenos_Aires,
06126000025,,RP. 6 y Av. Ameghino,,-34.168535,-58.973368,,,,,America/Argentina/Buenos_Aires,
06126000026,,RP. 6 y Buenos Aires,,-34.165031,-58.976687,,,,,America/Argentina/Buenos_Aires,
06126000027,,Av. 6 de Jukio y Romano,,-34.183374,-58.942852,,,,,America/Argentina/Buenos_Aires,
06126000028,,Av. 6 de Julio y Liniers,,-34.180068,-58.942547,,,,,America/Argentina/Buenos_Aires,
06126000029,,Av. Perón y Falucho,,-34.176497,-58.94473,,,,,America/Argentina/Buenos_Aires,
06126000030,,Jean Jaurés y Moreno y Blvd. Sarmiento,,-34.165292,-58.956937,,,,,America/Argentina/Buenos_Aires,
06126000031,,Jean Jaurés y San Martín,,-34.16508,-58.960382,,,,,America/Argentina/Buenos_Aires,
06126000032,,Jean Jaurés y Blvd. Dellepiane,,-34.165,-58.9614,,,,,America/Argentina/Buenos_Aires,
06126000033,,Bajada RP. 6 y Av. Mitre,,-34.162394,-58.978826,,,,,America/Argentina/Buenos_Aires,
06126000034,,RP. 6 y Bidegain,,-34.15258,-58.997364,,,,,America/Argentina/Buenos_Aires,
06126000035,,RP. 6 y Ochoa (Bº Sta. Lucia),,-34.145443,-59.003939,,,,,America/Argentina/Buenos_Aires,
06126000036,,RP. 6 y Ochoa (Bº Sta. Lucia),,-34.145515,-59.004159,,,,,America/Argentina/Buenos_Aires,
06126000037,,RP. 6 y Bidegain,,-34.15198,-58.99863,,,,,America/Argentina/Buenos_Aires,
06126000038,,Blvd. Dellepiane y San Martín,,-34.164369,-58.960638,,,,,America/Argentina/Buenos_Aires,
06126000039,,Blvd. Dellepiane y Belgrano y Blvd. Sarmiento,,-34.164287,-58.958191,,,,,America/Argentina/Buenos_Aires,
06126000040,,Blvd. Sarmiento y Jean Jaurés,,-34.165073,-58.957332,,,,,America/Argentina/Buenos_Aires,
06126000041,,Blvd. Sarmiento y Pza. 1º de Mayo,,-34.174845,-58.947421,,,,,America/Argentina/Buenos_Aires,
06126000042,,Av. Perón y Falucho,,-34.176651,-58.944748,,,,,America/Argentina/Buenos_Aires,
06126000043,,Av. 6 de Julio y A. del Pino,,-34.1802,-58.942756,,,,,America/Argentina/Buenos_Aires,
06126000044,,Bajada RP. 6 Tenaris,,-34.162726,-58.979474,,,,,America/Argentina/Buenos_Aires,
06126000045,,RP. 6 y Av. Ameghino,,-34.168632,-58.973527,,,,,America/Argentina/Buenos_Aires,
06126000046,,Balcarce y Av. Ameghino,,-34.169237,-58.971106,,,,,America/Argentina/Buenos_Aires,
06126000047,,Blvd. Dellepiane y Av. Ameghino,,-34.169563,-58.967962,,,,,America/Argentina/Buenos_Aires,
06126000048,,Blvd. Dellepiane y Museo del Automovil,,-34.16673,-58.964027,,,,,America/Argentina/Buenos_Aires,
06126000049,,Col. Sur RN. 9 y Viale (Esc. Sec. Nº 3),,-34.192904,-58.943191,,,,,America/Argentina/Buenos_Aires,
06126000050,,Col. Sur RN. 9 y Lavezzari,,-34.194152,-58.942286,,,,,America/Argentina/Buenos_Aires,
06126000051,,Col. Sur RN. 9 y Bellomo,,-34.196243,-58.940743,,,,,America/Argentina/Buenos_Aires,
06126000052,,Blvd. Sarmiento y Estrada,,-34.166128,-58.956254,,,,,America/Argentina/Buenos_Aires,
06126000053,,Blvd. Sarmiento y Jacob,,-34.16817,-58.954152,,,,,America/Argentina/Buenos_Aires,
06126000054,,Blvd. Sarmiento y Coletta,,-34.169153,-58.953155,,,,,America/Argentina/Buenos_Aires,
06126000055,,Blvd. Sarmiento y Av. Ameghino,,-34.170115,-58.952196,,,,,America/Argentina/Buenos_Aires,
06126000056,,Blvd. Sarmiento y Sivori,,-34.172188,-58.950112,,,,,America/Argentina/Buenos_Aires,
06126000057,,Shap Campana (Col. Sur RN. 9),,-34.210402,-58.930353,,,,,America/Argentina/Buenos_Aires,
06126000058,,Esc. 16 Campana (Col. Sur RN. 9),,-34.213346,-58.928305,,,,,America/Argentina/Buenos_Aires,
06126000059,,Col. Sur RN. 9 y Mateo Blanco (Bº Albizola),,-34.217526,-58.925263,,,,,America/Argentina/Buenos_Aires,
06126000060,,Av. 6 de Julio y Gavazzi,,-34.183349,-58.94305,,,,,America/Argentina/Buenos_Aires,
06126000061,,Av. 6 de Julio y Funch,,-34.186059,-58.943302,,,,,America/Argentina/Buenos_Aires,
06126000062,,Av. 6 de Julio y Ant. Argentina,,-34.188958,-58.943612,,,,,America/Argentina/Buenos_Aires,
06126000063,,Av. 6 de Julio y Acc. Au. Norte,,-34.189944,-58.943856,,,,,America/Argentina/Buenos_Aires,
06126000064,,Col. Sur RN. 9 y Magaldi,,-34.191323,-58.944447,,,,,America/Argentina/Buenos_Aires,
06126000065,,Sofitel (Col. Oeste R. Escobar),,-34.276001,-58.896586,,,,,America/Argentina/Buenos_Aires,
06126000066,,Col. Oeste R. Escobar y Libertador San Martín,,-34.281661,-58.894064,,,,,America/Argentina/Buenos_Aires,
06126000067,,Col. Sur RN. 9 y Cjal. Grassi,,-34.198989,-58.938775,,,,,America/Argentina/Buenos_Aires,
